,is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length,y_pred,proba
871,True,171.37,104.07,103.75,4.121938081122543,3.07,113.27,1,0.9999282450708364
895,True,171.81,103.68,103.8,4.123535550692247,2.98,113.82,1,0.9999988651996549
919,True,171.92,103.68,103.45,4.198422709792334,2.58,113.68,1,0.9999999789934859
945,True,172.09,103.74,103.52,4.109623127674716,3.02,112.78,1,0.9996244616469978
946,True,171.63,103.87,104.66,4.0969602461767565,3.27,112.68,1,0.7236810015108411
981,True,172.02,104.23,103.72,4.13384100615954,2.99,113.37,1,0.9999835433851317
1076,False,171.57,104.27,104.44,5.2596851539850284,3.21,111.87,0,4.519521413526376e-05
1121,False,171.4,104.38,104.19,5.26481699548826,3.17,112.39,0,0.003728243547258453
1176,False,171.59,104.05,103.94,5.282518529875266,3.02,111.29,0,4.1806623887068986e-05
1303,False,172.17,104.49,103.76,5.302068869000069,2.93,111.21,0,0.00010472014241948789
1315,False,172.08,104.15,104.17,5.200358433969496,3.4,112.29,0,0.0002964210809328073
1347,False,171.72,104.46,104.12,5.175467796245719,3.61,110.31,0,2.335966382084542e-10
1435,False,172.66,104.33,104.41,5.17345045285902,3.56,111.47,0,1.921642219713861e-07
1438,False,171.9,104.28,104.29,5.246750547234731,3.24,111.49,0,5.691075230884584e-06
0,True,171.81,104.86,104.95,4.52,2.89,112.83,1,0.9009202991489823
1,True,171.46,103.36,103.66,3.77,2.99,113.09,1,0.9999923821806389
2,True,172.69,104.48,103.5,4.4,2.94,113.16,1,0.9999080084670703
3,True,171.36,103.91,103.94,3.62,3.01,113.51,1,0.9999993049069642
4,True,171.73,104.28,103.46,4.04,3.48,112.54,1,0.9056958892301221
5,True,172.17,103.74,104.08,4.42,2.95,112.81,1,0.9931820914012809
6,True,172.34,104.18,103.85,4.58,3.26,112.81,1,0.819265305008526
7,True,171.88,103.76,104.08,3.98,2.92,113.08,1,0.9999406252660358
8,True,172.47,103.92,103.67,4.0,3.25,112.85,1,0.9978027949176739
9,True,172.47,104.07,104.02,4.04,3.25,113.45,1,0.999774725136892
10,True,171.83,104.14,103.62,3.16,3.18,113.22,1,0.9999995389676672
11,True,171.84,104.59,104.0,3.88,3.27,113.08,1,0.9990772502939258
12,True,171.89,103.89,103.4,4.11,2.96,113.24,1,0.9999920302164741
13,True,172.2,104.35,103.67,4.44,3.38,113.65,1,0.9990099722514162
14,True,172.06,103.87,103.83,4.09,2.92,113.19,1,0.9999736926922163
15,True,171.73,103.92,103.74,4.43,2.78,112.98,1,0.999858511079164
16,True,171.3,104.19,103.7,4.12,2.82,112.87,1,0.9999476783365239
17,True,171.88,104.47,103.45,4.56,3.33,113.01,1,0.9698171963165884
18,True,172.47,103.89,104.14,3.74,3.28,113.47,1,0.999938889561748
19,True,171.9,103.67,103.15,4.55,3.15,113.12,1,0.9991584688621427
20,True,171.87,103.91,103.96,3.74,2.97,113.59,1,0.9999993617590032
21,True,171.82,103.65,103.64,4.25,2.8,112.57,1,0.9994988187497539
22,True,172.1,103.96,103.71,3.93,2.89,112.68,1,0.9998911210565467
23,True,172.56,103.85,103.62,3.32,3.13,113.37,1,0.9999997014503702
24,True,172.22,103.75,103.89,4.18,3.19,113.34,1,0.9996269918204745
25,True,172.09,103.63,103.33,4.32,2.88,113.46,1,0.9999973333033799
26,True,171.83,103.44,103.7,4.15,3.1,113.47,1,0.999971074928007
27,True,171.88,103.92,103.74,4.02,3.17,113.76,1,0.9999949469455699
28,True,172.02,104.18,104.16,3.97,3.23,113.64,1,0.9999418513878794
29,True,171.58,103.59,103.79,4.1,2.92,113.56,1,0.9999974865596877
30,True,171.71,103.95,103.97,4.0,2.83,113.55,1,0.9999989856956731
31,True,171.98,104.33,103.61,3.68,3.14,113.41,1,0.9999975732612807
32,True,171.99,103.79,103.9,4.62,2.9,112.92,1,0.9959912947496607
33,True,171.85,104.1,103.88,4.13,2.93,112.93,1,0.9997801035784197
34,True,172.29,103.61,104.44,4.54,2.69,113.48,1,0.9999477196619098
35,True,172.01,103.81,103.65,4.36,3.03,113.26,1,0.9998379177424432
36,True,171.8,104.28,104.06,4.47,3.29,113.93,1,0.9996942071604678
37,True,171.73,104.1,104.19,3.39,3.19,112.79,1,0.9997952161814835
38,True,172.0,103.76,104.27,4.42,3.29,112.67,0,0.48778208367041254
39,True,172.28,104.11,104.19,3.93,3.08,113.51,1,0.9999766521330985
40,True,172.44,103.96,104.55,3.73,2.86,113.16,1,0.9999808635771328
41,True,172.08,104.19,103.82,3.99,3.21,113.2,1,0.9997399726205809
42,True,172.1,103.73,103.33,3.72,3.02,113.5,1,0.9999997968674892
43,True,172.4,103.41,103.85,4.01,3.15,113.45,1,0.9999625422510766
44,True,171.79,103.83,103.76,3.99,3.18,112.9,1,0.9990116886162185
45,True,171.42,104.65,103.63,3.99,3.05,113.08,1,0.9999451680366418
46,True,171.47,103.74,104.42,4.19,2.92,113.53,1,0.9999567452982479
47,True,172.13,104.15,103.93,3.97,2.87,113.31,1,0.9999951155329107
48,True,172.07,104.05,103.82,3.71,3.61,113.05,1,0.9928676435126144
49,True,171.82,103.82,103.61,4.42,2.9,113.02,1,0.9997651005148152
50,True,171.95,104.02,103.82,4.28,3.0,113.28,1,0.9998886068797663
51,True,172.03,103.59,104.09,4.49,2.85,113.44,1,0.9999194293165907
52,True,171.64,104.18,103.78,3.49,3.74,113.94,1,0.9999747017823313
53,True,171.71,103.99,103.47,4.49,3.04,113.07,1,0.9992768685765775
54,True,172.02,103.58,103.8,3.95,3.46,112.4,1,0.7400591478976781
55,True,171.56,103.42,103.64,3.77,3.04,113.3,1,0.9999967095224701
56,True,171.25,104.23,103.93,4.36,2.68,113.5,1,0.9999975411793132
57,True,171.66,103.75,104.07,4.01,2.98,113.47,1,0.9999882655366555
58,True,171.88,104.12,103.86,4.07,3.41,113.5,1,0.9993791217162284
59,True,171.88,103.91,103.88,4.05,3.16,113.24,1,0.9997846637625818
60,True,172.24,104.03,103.86,3.71,3.01,113.03,1,0.9999819349115365
61,True,171.9,103.46,104.22,3.99,3.0,113.08,1,0.9997686086834561
62,True,171.42,103.82,103.84,4.01,2.96,113.16,1,0.9999700578071897
63,True,171.98,103.92,103.57,4.14,2.75,113.13,1,0.9999962472365401
64,True,171.79,103.91,103.94,3.44,2.96,113.39,1,0.9999997220572199
65,True,172.08,104.49,103.96,4.38,3.14,113.42,1,0.9993964871539693
66,True,172.41,104.1,104.27,3.8,3.31,112.68,1,0.976237644376583
67,True,172.33,103.97,103.66,3.97,3.07,112.97,1,0.9998705719866572
68,True,171.6,103.55,103.74,3.79,2.86,112.82,1,0.9999846256785598
69,True,171.98,104.16,103.76,4.08,2.94,113.08,1,0.9999525534685546
70,True,171.81,103.84,103.66,4.35,2.93,112.97,1,0.9996685130984808
71,True,171.84,103.59,103.98,4.09,3.05,113.09,1,0.9996901653237174
73,True,171.35,103.58,103.59,4.08,2.85,114.09,1,0.9999999789491134
74,True,172.49,103.69,103.79,3.81,2.77,113.09,1,0.9999984686879185
75,True,172.26,103.85,103.7,4.16,3.2,112.35,1,0.9206072686720941
76,True,171.65,103.3,103.55,4.14,3.37,112.87,1,0.9891078380650485
77,True,171.84,104.09,103.03,4.11,2.77,113.18,1,0.9999995326218556
78,True,171.71,103.43,103.61,4.11,2.97,112.95,1,0.9998940418857608
79,True,171.58,103.71,103.57,4.49,3.14,113.65,1,0.9999197478733917
80,True,171.89,103.42,103.35,4.92,3.02,113.2,1,0.9973379818083413
81,True,171.85,103.87,103.27,4.09,2.95,113.09,1,0.9999896472748055
82,True,172.08,103.93,103.85,4.3,3.26,113.65,1,0.9997861916731865
83,True,172.52,104.32,103.86,3.7,3.14,113.36,1,0.9999914051278942
84,True,171.85,103.91,103.91,4.5,3.21,113.09,1,0.9830603605494943
85,True,171.98,104.32,103.71,4.25,3.06,113.46,1,0.999960583177758
86,True,172.01,104.58,103.89,3.96,2.87,113.28,1,0.9999951701056584
87,True,171.7,103.75,103.4,4.47,3.28,113.57,1,0.9997176843592334
88,True,171.93,103.65,103.56,4.12,2.77,112.95,1,0.9999880638805922
89,True,171.94,103.49,103.82,4.24,3.19,113.05,1,0.9974314419182408
90,True,171.81,103.76,103.61,4.31,3.08,112.74,1,0.9957361804185721
91,True,172.08,104.01,104.5,4.3,2.97,113.05,1,0.996362426162252
92,True,171.81,104.14,103.35,4.03,3.03,112.83,1,0.999894605136676
93,True,172.05,103.75,103.98,4.1,3.12,113.27,1,0.9997743520381449
94,True,172.34,104.26,103.76,4.01,3.17,113.28,1,0.9999025794544968
95,True,172.0,103.83,103.82,4.64,3.32,113.0,1,0.8554990098728734
96,True,171.57,104.61,103.91,4.49,3.16,113.42,1,0.9987411792478622
97,True,171.86,103.6,103.99,3.65,3.15,113.56,1,0.9999968728451015
98,True,171.54,103.75,103.62,4.59,2.85,113.44,1,0.9999682303832831
100,True,171.53,104.02,103.87,4.1,3.03,113.32,1,0.9999548688792281
101,True,171.55,103.35,103.69,4.31,3.19,113.42,1,0.9997336897879495
102,True,172.05,103.69,103.89,4.42,3.15,112.67,1,0.9352306441325859
103,True,172.0,104.14,103.98,3.87,3.12,113.5,1,0.9999871667156383
104,True,171.96,103.95,103.81,4.23,3.09,113.27,1,0.9997868150474818
105,True,171.85,103.66,103.9,4.16,2.98,112.91,1,0.9994598684545797
106,True,172.27,103.95,103.75,3.94,3.19,114.04,1,0.9999993075824511
107,True,172.69,103.88,104.06,4.27,3.2,113.22,1,0.9973168030992741
108,True,171.91,104.23,104.14,3.59,3.11,113.42,1,0.9999944932385008
109,True,171.65,103.77,103.95,4.18,3.16,113.26,1,0.9994547124417711
110,True,172.07,103.72,103.44,4.03,2.9,113.55,1,0.9999995635928111
111,True,172.03,103.96,103.58,4.06,2.85,113.02,1,0.9999869511817722
112,True,171.8,104.22,103.74,3.66,3.08,113.53,1,0.9999991570236911
113,True,171.82,104.23,104.05,4.21,3.2,112.89,1,0.9865822708163103
114,True,172.24,103.97,103.69,4.32,2.98,113.26,1,0.9999144912900424
115,True,171.88,103.61,103.46,3.52,2.99,112.94,1,0.9999979604737076
116,True,172.23,104.18,103.71,3.93,3.32,113.48,1,0.9999307903027228
117,True,172.11,104.36,104.01,4.14,3.17,112.59,1,0.9656713902128035
118,True,171.92,103.6,103.36,4.23,2.93,113.51,1,0.9999979352059348
119,True,171.89,103.66,103.28,3.79,3.03,112.74,1,0.9999680070801453
120,True,171.92,103.78,103.61,4.02,3.31,112.91,1,0.9973666390933467
121,True,172.23,104.12,103.75,3.91,3.02,113.02,1,0.999947767698058
122,True,171.81,103.22,103.92,3.99,3.06,113.32,1,0.999963624508842
123,True,171.62,104.24,103.85,4.08,2.9,112.87,1,0.9998462165514659
124,True,171.89,103.63,104.12,4.37,3.06,113.38,1,0.9994633103886574
125,True,171.5,104.03,103.97,3.26,3.54,113.24,1,0.999896350589288
126,True,172.22,104.07,103.98,4.01,2.83,112.92,1,0.999945950401177
127,True,171.93,103.98,104.07,4.41,2.96,113.02,1,0.9981052789424093
128,True,171.96,104.34,103.85,3.95,3.28,113.73,1,0.9999823117385045
129,True,172.0,104.05,103.67,4.02,3.18,113.4,1,0.9999592175331499
130,True,171.66,103.43,103.54,4.38,3.51,113.2,1,0.9735007228078997
131,True,171.27,104.14,103.78,3.91,2.69,112.81,1,0.9999932084266077
132,True,171.84,103.77,103.98,4.61,2.99,113.59,1,0.9997969977581501
133,True,171.54,104.36,103.28,3.99,3.21,113.43,1,0.9999895071242612
134,True,172.27,104.12,103.96,4.12,2.74,113.12,1,0.9999884166693913
135,True,171.87,104.71,103.85,4.36,2.71,113.71,1,0.9999992933138757
136,True,172.06,104.19,103.59,4.39,3.22,113.69,1,0.9999180001963504
137,True,171.6,104.02,103.9,4.2,3.15,113.15,1,0.9990708108207382
138,True,172.43,104.05,104.02,4.09,2.93,113.6,1,0.9999956052604607
139,True,172.46,103.81,103.52,4.05,3.16,112.6,1,0.9966588338959965
140,True,172.47,103.82,103.59,3.85,2.77,113.17,1,0.9999993803740874
141,True,171.52,104.11,104.23,4.73,3.08,113.33,1,0.9875962671530832
142,True,172.18,104.46,103.8,4.31,2.84,113.58,1,0.9999962408872473
143,True,172.04,103.82,103.79,4.07,3.2,114.13,1,0.9999988552521436
144,True,171.8,104.31,103.78,3.79,3.12,112.78,1,0.9996642795131214
145,True,171.65,103.59,103.83,3.97,3.12,113.04,1,0.9997511432765674
146,True,172.38,103.72,103.88,4.36,3.05,113.19,1,0.9993409263001926
147,True,172.35,103.72,103.67,4.2,3.07,112.87,1,0.9989442082157399
148,True,172.46,103.99,104.04,4.14,2.68,112.93,1,0.9999704133285684
149,True,171.91,103.97,103.6,4.66,3.03,114.04,1,0.9999925261032145
150,True,171.72,103.91,104.57,4.08,2.79,113.44,1,0.9999839861293232
152,True,171.97,104.29,104.04,4.46,2.97,113.81,1,0.9999798388970432
153,True,171.96,104.16,103.67,3.98,3.23,112.97,1,0.9992476270154583
154,True,172.08,103.95,103.7,3.76,2.97,113.52,1,0.999999530282084
155,True,171.75,104.03,103.85,4.36,2.96,113.22,1,0.9998054565941559
156,True,171.57,103.98,103.4,4.05,2.74,113.7,1,0.9999999674186959
157,True,171.88,104.04,104.08,3.8,3.01,113.6,1,0.9999980209009991
158,True,172.05,103.88,103.76,4.2,3.15,113.94,1,0.9999954939926796
159,True,172.15,103.74,103.92,4.64,3.35,113.19,1,0.9092146015190439
160,True,172.26,104.46,103.6,4.18,3.31,113.0,1,0.9959902455556046
161,True,172.31,103.89,103.78,4.49,3.06,113.34,1,0.9995269593078285
162,True,172.09,104.05,104.26,4.1,2.95,113.68,1,0.9999921833361172
163,True,171.9,103.4,103.45,4.09,3.33,112.97,1,0.9979508537522196
164,True,172.38,103.98,104.4,3.81,2.8,112.9,1,0.9999488510946813
165,True,171.81,103.53,103.76,3.91,2.87,113.52,1,0.9999994781386771
166,True,172.31,104.05,103.51,4.43,2.86,113.18,1,0.9999557950771195
167,True,172.2,104.06,103.97,4.16,3.17,112.47,1,0.931159163848938
168,True,172.21,103.32,103.99,4.11,3.04,113.46,1,0.9999664423615128
169,True,171.28,104.2,103.89,4.29,3.06,112.56,1,0.9769974049799671
170,True,171.62,104.41,103.71,4.13,3.21,114.03,1,0.9999973681354439
171,True,172.4,103.51,103.52,3.68,3.16,113.35,1,0.9999967938629315
172,True,172.26,104.09,103.56,3.53,2.99,113.1,1,0.9999988693758268
173,True,172.58,104.03,103.9,3.79,2.92,113.57,1,0.9999995180682386
174,True,171.55,104.4,103.17,4.54,2.83,113.3,1,0.99999000433989
175,True,172.13,104.26,103.88,3.97,3.0,113.11,1,0.999945193168606
176,True,171.75,103.63,102.97,4.46,2.77,113.22,1,0.999997277556795
177,True,172.09,104.19,103.5,4.16,3.04,112.94,1,0.9997780077867925
178,True,171.79,104.57,104.04,4.26,3.15,113.46,1,0.9996795950108727
179,True,171.66,104.16,103.94,4.05,3.04,113.09,1,0.9998100196428193
180,True,171.8,104.17,103.74,4.03,2.92,113.04,1,0.9999663493507388
181,True,172.37,103.31,103.5,3.79,3.13,112.43,1,0.9987330294561775
182,True,171.94,104.44,104.13,3.32,3.02,113.49,1,0.9999997528330546
183,True,171.94,103.97,103.84,3.95,3.05,112.88,1,0.999706767555425
184,True,171.84,103.71,103.9,4.61,2.82,112.68,1,0.992844399428908
185,True,172.4,104.13,103.84,4.25,3.09,113.29,1,0.9997637694033313
186,True,172.21,103.48,104.04,4.4,3.0,113.15,1,0.9989028591756294
187,True,172.74,104.05,104.17,3.68,3.38,113.12,1,0.9988718656461586
188,True,172.1,104.05,103.84,3.76,3.17,113.44,1,0.9999901973714758
189,True,172.18,104.02,103.54,4.17,3.49,113.64,1,0.9996088276936387
190,True,171.95,103.73,103.77,4.09,3.02,113.6,1,0.9999951154482924
191,True,171.86,104.7,103.62,4.01,3.34,112.89,1,0.9960554865079468
192,True,171.78,103.74,103.55,3.86,2.87,113.41,1,0.999999626959608
193,True,172.35,103.73,102.95,4.49,3.37,112.49,1,0.8759196302963397
194,True,171.94,104.34,103.99,4.27,2.87,113.14,1,0.9998873230588333
195,True,172.22,103.59,103.81,3.47,3.34,113.23,1,0.9999695755724376
196,True,171.99,103.98,103.73,4.34,3.2,113.05,1,0.9960339770626371
198,True,171.9,104.14,103.75,4.56,2.97,113.0,1,0.9978848962170174
199,True,171.9,104.42,104.02,4.38,3.1,112.87,1,0.9858262520674047
200,True,171.97,104.01,103.41,3.8,2.96,112.85,1,0.9999871292243663
201,True,171.71,104.27,104.19,3.56,3.15,112.71,1,0.9993542611196121
202,True,172.11,103.98,104.02,4.17,3.24,112.96,1,0.9906649596198205
203,True,172.33,104.18,104.04,4.29,2.99,114.08,1,0.9999983890145052
204,True,171.88,103.83,103.31,4.36,3.07,113.83,1,0.9999976254302361
205,True,172.16,104.04,104.02,4.06,3.08,113.02,1,0.9993844510465395
206,True,172.18,103.68,103.14,4.16,3.18,113.93,1,0.9999993514794865
207,True,172.3,104.34,103.93,3.98,3.33,113.08,1,0.9974390910887807
208,True,171.59,103.8,104.08,4.18,3.17,113.04,1,0.9963992286059666
209,True,172.23,103.25,103.97,4.01,3.38,113.9,1,0.9999617758896838
210,True,172.12,103.76,103.66,4.27,2.95,113.4,1,0.9999825482877561
211,True,171.78,103.52,103.69,4.31,2.85,113.59,1,0.9999972785060152
212,True,171.59,104.06,103.85,4.41,3.29,113.49,1,0.9984360878251815
213,True,172.26,103.75,103.87,3.95,3.1,113.08,1,0.9998409321617461
214,True,172.1,103.61,103.79,4.86,3.14,112.89,1,0.8436214511127523
215,True,172.05,104.08,103.66,4.49,3.24,113.23,1,0.9959488077280874
216,True,171.74,104.43,103.09,4.23,3.15,113.19,1,0.9999404355721768
217,True,172.37,104.32,103.52,3.96,3.11,112.84,1,0.9997423955701998
218,True,172.19,104.07,103.71,4.0,2.82,112.71,1,0.9999320403105081
219,True,172.11,103.33,103.8,4.55,2.91,113.17,1,0.9995583255943326
220,True,171.26,103.59,103.8,4.11,3.25,113.03,1,0.9977643984194401
221,True,172.04,103.67,103.6,4.09,3.14,112.99,1,0.9995861542584502
222,True,171.79,103.88,103.7,4.1,3.12,113.42,1,0.9999646517589268
223,True,171.97,104.05,103.82,4.09,2.88,112.67,1,0.9995875083770331
224,True,172.12,103.2,103.92,4.46,3.26,113.44,1,0.9973092132222929
225,True,171.29,104.22,104.16,4.37,3.14,113.3,1,0.9976983394099277
226,True,171.84,103.81,103.83,4.33,2.86,113.14,1,0.999912866778637
227,True,171.69,103.8,104.1,4.32,2.69,113.52,1,0.9999967029806935
228,True,172.5,104.54,103.78,3.99,3.1,112.82,1,0.9992477307154611
229,True,172.28,103.63,103.97,3.79,2.94,112.9,1,0.9999536427234392
230,True,172.32,103.22,104.0,4.01,3.08,112.87,1,0.9989422443102812
231,True,172.76,104.22,104.0,4.2,3.27,113.69,1,0.999837547384076
232,True,171.34,104.26,104.06,3.77,3.2,113.91,1,0.9999983602743847
233,True,172.26,104.16,103.2,4.55,3.35,113.23,1,0.9959708437016443
234,True,171.97,103.55,104.2,4.21,3.12,113.2,1,0.9985582812651065
235,True,171.77,103.62,103.32,3.9,3.17,113.45,1,0.9999960385489645
236,True,171.85,104.1,104.16,4.18,3.06,113.19,1,0.9994043072756897
237,True,172.19,103.96,104.03,3.95,3.2,112.71,1,0.9925774417747265
238,True,172.23,104.21,103.97,3.74,2.9,113.4,1,0.9999989736707084
239,True,171.85,104.07,103.9,4.8,3.46,113.73,1,0.9718648387894011
240,True,171.86,103.6,104.09,3.9,2.8,113.18,1,0.9999942546038048
242,True,171.74,103.95,103.78,4.74,3.29,113.04,1,0.8628167145807804
243,True,172.17,103.61,104.33,3.39,2.82,112.79,1,0.9999930531849884
244,True,171.57,104.09,103.58,3.99,3.23,112.98,1,0.9994411272877974
245,True,171.99,103.7,103.59,4.37,3.12,112.85,1,0.9955150812947842
246,True,171.94,103.91,103.99,4.02,2.94,113.06,1,0.9999210847652351
247,True,172.45,103.97,104.32,4.15,3.23,113.45,1,0.9990086513866028
248,True,172.12,104.03,104.02,4.38,2.83,113.03,1,0.9996765257076546
249,True,171.67,103.74,103.7,4.01,2.87,113.29,1,0.9999966884589062
250,True,172.38,103.45,104.11,4.72,3.01,113.19,1,0.9910322992140559
252,True,171.68,104.27,104.07,4.08,3.34,113.57,1,0.9995830936561355
253,True,172.07,104.33,104.33,4.41,3.39,113.39,1,0.9611435859143453
254,True,172.17,104.21,103.87,4.35,2.98,113.66,1,0.9999839966780906
255,True,171.82,103.49,103.47,4.79,3.11,113.41,1,0.9987758458531857
256,True,171.85,103.65,103.55,4.48,3.31,112.89,1,0.9573588114144925
257,True,172.19,104.03,104.25,4.17,2.81,112.94,1,0.9997389319912511
258,True,171.71,103.53,103.78,3.89,3.03,113.51,1,0.9999972380516797
259,True,172.35,103.62,103.78,4.38,2.86,113.28,1,0.9999572799402492
260,True,172.27,103.71,103.64,4.64,2.67,113.63,1,0.9999977791017801
261,True,171.99,103.75,103.53,3.79,2.81,112.52,1,0.9999711465712128
262,True,171.91,103.97,103.81,3.96,3.03,112.64,1,0.9989942426474919
263,True,172.06,103.92,103.42,4.28,3.0,113.41,1,0.9999867535572777
264,True,171.75,104.12,104.1,3.85,3.24,113.3,1,0.9997988079741597
265,True,172.15,104.02,103.94,3.96,2.87,112.38,1,0.998546746993581
266,True,171.95,103.94,103.8,4.1,3.41,113.38,1,0.9987139703165051
267,True,171.48,103.27,103.42,3.84,3.04,113.56,1,0.9999995030915556
268,True,171.47,104.3,104.01,4.32,2.68,113.07,1,0.9999648019769315
269,True,171.88,103.93,103.72,4.88,3.26,113.11,1,0.8696912472790801
270,True,172.11,103.98,104.33,4.3,2.91,112.72,1,0.9915880148287525
271,True,172.06,104.21,103.88,4.63,3.22,113.7,1,0.9990824707692444
272,True,171.6,104.22,104.11,4.25,3.29,113.4,1,0.9976483386989299
273,True,172.19,104.05,103.54,3.8,3.24,112.84,1,0.9996120765185104
274,True,171.52,103.74,104.1,4.47,2.87,113.58,1,0.9999618245091695
275,True,171.81,104.17,103.72,4.17,3.05,112.49,1,0.9913679342779614
276,True,171.62,104.11,103.71,4.33,3.14,113.14,1,0.9989245184152157
277,True,172.08,104.16,104.17,3.54,3.29,112.71,1,0.997718642807202
278,True,171.86,104.15,103.5,4.31,2.92,113.87,1,0.999999465307389
279,True,172.29,103.73,103.55,3.84,3.23,113.9,1,0.9999993192879921
280,True,171.85,103.64,103.63,3.73,3.29,112.95,1,0.9997125285261992
281,True,171.99,103.9,104.21,4.18,3.07,113.01,1,0.9976397735904203
282,True,172.02,104.54,103.74,3.96,2.94,113.51,1,0.9999985254311247
283,True,172.47,103.57,103.89,4.6,3.2,112.93,1,0.9318480243725193
285,True,172.27,103.78,103.86,4.25,2.86,112.73,1,0.999274726105318
286,True,172.04,103.99,104.12,4.2,3.02,113.16,1,0.9995304622995999
287,True,171.92,104.12,104.15,3.83,2.88,112.65,1,0.9997290895531856
288,True,172.21,104.22,103.57,3.57,3.17,112.43,1,0.9993945615169835
289,True,172.08,104.4,103.94,4.22,2.97,113.08,1,0.999714974980322
290,True,171.85,103.93,103.81,4.36,3.12,112.82,1,0.9895431060016339
291,True,171.77,103.79,104.11,3.92,3.18,113.33,1,0.9998559437758812
292,True,172.09,103.14,103.81,4.88,3.01,113.69,1,0.9995785765797093
293,True,172.5,103.81,103.83,4.19,3.01,113.18,1,0.9998659305286309
294,True,171.52,103.97,103.81,4.08,3.07,112.74,1,0.9982453451368355
295,True,172.34,104.54,103.56,4.04,3.42,112.93,1,0.9930059352119591
296,True,171.87,103.99,104.03,4.42,2.89,112.72,1,0.9946079810339414
297,True,172.12,103.9,104.32,3.83,3.03,113.56,1,0.9999916388913035
298,True,172.43,103.83,104.13,3.72,2.81,113.27,1,0.999998655967559
299,True,171.68,103.77,103.82,4.24,2.86,113.6,1,0.9999971878032122
300,True,171.54,104.27,104.01,4.63,3.05,113.09,1,0.9897803788744234
301,True,171.46,103.83,103.95,4.21,3.15,113.59,1,0.9999221408364596
302,True,171.65,103.22,104.11,3.51,3.04,113.4,1,0.9999983568057107
303,True,172.02,103.45,103.79,3.91,3.0,113.12,1,0.9999738256627838
304,True,172.3,103.88,103.85,4.22,3.09,113.1,1,0.9993490915008311
305,True,171.83,104.65,103.66,3.83,2.95,113.28,1,0.9999977229610886
306,True,172.1,103.93,103.43,3.96,3.13,113.38,1,0.999991538892899
307,True,172.24,104.22,103.67,4.3,3.33,113.13,1,0.9940473923452845
308,True,171.87,103.99,104.02,4.23,3.02,113.0,1,0.9989105842212749
309,True,172.25,104.14,103.76,3.84,2.81,112.72,1,0.9999752162831711
310,True,172.47,103.87,104.16,4.63,3.18,112.98,1,0.8854535255456059
311,True,172.58,103.99,103.63,4.43,3.07,112.79,1,0.9935795817260334
312,True,172.07,104.09,103.7,4.11,3.0,113.19,1,0.999955463657475
313,True,172.32,103.99,104.01,4.22,2.95,113.08,1,0.9997079058245185
314,True,172.1,104.16,104.18,4.03,3.08,112.65,1,0.9916046642279259
315,True,171.99,103.6,103.43,4.57,2.96,113.09,1,0.9995964548481361
316,True,171.91,103.99,103.81,4.0,2.88,113.02,1,0.9999737829535102
317,True,171.51,104.34,103.49,4.29,3.03,113.42,1,0.9999771292021127
318,True,172.22,103.51,103.99,3.67,3.06,112.86,1,0.999896409895957
319,True,172.05,104.11,104.14,4.73,2.73,113.3,1,0.9997062483307207
320,True,172.07,104.35,104.43,4.1,3.02,112.76,1,0.9918458601400657
321,True,171.74,103.74,103.78,4.43,3.14,113.02,1,0.9946834933317679
322,True,171.75,104.13,103.91,4.24,2.97,113.33,1,0.9999372080614423
